label,text
0,"Yep, by the pretty sculpture"
0,What you did in  leave.
0,I have to take exam with march 3
1,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
0,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun
0,ok....take care.umma to you too...
0,O. Well uv causes mutations. Sunscreen is like essential thesedays
1,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
0,Hey gals...U all wanna meet 4 dinner at nìte? 
0,"You aren't coming home between class, right? I need to work out and shower!"
0,Good words.... But words may leave u in dismay many times.
0,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
0,Our Prasanth ettans mother passed away last night. Just pray for her and family.
0,Id onluy matters when getting on from offcampus
0,At what time are you coming.
0,"Thanx 4 the time weve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
1,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
0,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds.."
0,"What i mean was i left too early to check, cos i'm working a 9-6."
0,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
1,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
0,Hey do you want anything to buy:)
0,"Sorry, I'll call later"
0,Po de :-):):-):-):-). No need job aha.
0,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
1,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
1,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
0,C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.
0,You want to go? 
0,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
0,No plm i will come da. On the way.
0,If i said anything wrong sorry de:-)
1,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
0,"I'll see, but prolly yeah"
1,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
0,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"
0,Are you wet right now?
0,I will be gentle princess! We will make sweet gentle love...
0,So wat's da decision?
1,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
0,Then cant get da laptop? My matric card wif ü lei... 
1,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
0,"Aight I'll grab something to eat too, text me when you're back at mu"
0,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
0,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
0,Aight well keep me informed
0,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
0,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
0,Having lunch:)you are not in online?why?
0,Ok. I only ask abt e movie. U wan ktv oso?
0,Am not interested to do like that.
0,"As usual..iam fine, happy &amp; doing well..:)"
0,Well good morning mr . Hows london treatin' ya treacle?
0,Ok i msg u b4 i leave my house.
0,Horrible gal. Me in sch doing some stuff. How come u got mc?
0,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
0,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
0,Send me the new number
0,R u here yet? I'm wearing blue shirt n black pants.
0,Lmao. Take a pic and send it to me.
0,"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?"
0,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
0,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? "
0,I'm working technical support :)voice process.
0,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
0,"alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."
0,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
0,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
0,"Y cant u try new invention to fly..i'm not joking.,"
0,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
0,Oh k.k..where did you take test?
1,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
0,YO YO YO BYATCH WHASSUP?
0,Oh god i am happy to see your message after 3 days
0,Cancel cheyyamo?and get some money back?
0,"Well, i'm gonna finish my bath now. Have a good...fine night."
1,"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
0,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
0,I know a few people I can hit up and fuck to the yes
0,I'm in office now . I will call you  &lt;#&gt;  min:)
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
0,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
0,Are you not around or just still asleep? :V
0,WHITE FUDGE OREOS ARE IN STORES
0,Ill be at yours in about 3 mins but look out for me
0,"Gosh that , what a pain. Spose I better come then."
0,How much is torch in 9ja.
1,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
0,Why tired what special there you had
0,Understand. his loss is my gain :) so do you work? School?
0,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
0,Waiting for your call.
1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
0,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
0,So can collect ur laptop?
1,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
0,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
0,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
0,Went to pay rent. So i had to go to the bank to authorise the payment.
0,Hi.what you think about match?
0,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
0,What * u wearing?
1,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a £250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop£1.50/week
0,"Yeah we wouldn't leave for an hour at least, how's 4 sound?"
0,Dude just saw a parked car with its sunroof popped up. Sux
0,In work now. Going have in few min.
0,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
1,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
0,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
0,He remains a bro amongst bros
0,No need lar i go engin? Cos my sis at arts today...
0,Ok.. Ü finishing soon?
0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
0,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
0,No da. I am happy that we sit together na
1,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!"
0,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
0,Please leave this topic..sorry for telling that..
0,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
0,You do what all you like
0,Actually i'm waiting for 2 weeks when they start putting ad.
0,Yesterday its with me only . Now am going home.
0,GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI
0,Booked ticket for pongal?
0,Did u got that persons story
0,Will ü b going to esplanade fr home?
0,Ü predict wat time ü'll finish buying?
0,K actually can you guys meet me at the sunoco on howard? It should be right on the way
0,"Best line said in Love: . ""I will wait till the day I can forget u Or The day u realize that u cannot forget me.""... Gn"
0,Ya just telling abt tht incident..
0,Will purchase d stuff today and mail to you. Do you have a po box number?
0,"Cool, what time you think you can get here?"
0,"I want to show you the world, princess :) how about europe?"
0,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
0,Congrats kano..whr s the treat maga?
0,It's justbeen overa week since we broke up and already our brains are going to mush!
0,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
0,Sitting ard nothing to do lor. U leh busy w work?
0,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
0,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
0,Okay but i thought you were the expert
0,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
0,He is a womdarfull actor
0,Did you show him and wot did he say or could u not c him 4 dust?
0,Oh god. I'm gonna Google nearby cliffs now.
0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
0,So why didnt you holla?
0,Wat ü doing now?
0,"I'm not sure, I was just checking out what was happening around the area"
0,Convey my regards to him
0,Dunno y u ask me.
1,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
0,Not getting anywhere with this damn job hunting over here!
1,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
0,"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx"
1,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
0,what are your new years plans?
0,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
0,Boy you best get yo ass out here quick
0,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...
0,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
0,Yes:)here tv is always available in work place..
0,You tell what happen dont behave like this to me. Ok no need to say
0,Both :) i shoot big loads so get ready!
